epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7039448022842407,0.6752439737319946,1e-04,0.8457446694374084,0.9803159236907959
1,0.7743589878082275,0.5412089228630066,1e-04,0.8776595592498779,0.918632447719574
2,0.8021696209907532,0.4795534014701843,1e-04,0.8705673813819885,0.8043074011802673
3,0.8195266127586365,0.45170557498931885,1e-04,0.890070915222168,0.6912959218025208
4,0.8376725912094116,0.41492870450019836,1e-04,0.8581560254096985,0.6693829894065857
5,0.8528599739074707,0.37647879123687744,1e-04,0.8741135001182556,0.5397502779960632
6,0.8686390519142151,0.34825852513313293,1e-04,0.890070915222168,0.3575407564640045
7,0.8741617202758789,0.32303133606910706,1e-04,0.8723404407501221,0.38729873299598694
8,0.8915187120437622,0.2920474410057068,1e-04,0.8014184236526489,0.5556270480155945
9,0.8873767256736755,0.286149799823761,1e-04,0.8705673813819885,0.32628679275512695
10,0.9035502672195435,0.25848060846328735,1e-04,0.838652491569519,0.4404977560043335
11,0.9069033265113831,0.24528656899929047,1e-04,0.813829779624939,0.5682454109191895
12,0.9214990139007568,0.22194041311740875,1e-04,0.8776595592498779,0.3169773519039154
13,0.9187376499176025,0.21746571362018585,1e-04,0.8492907881736755,0.4527365565299988
14,0.9313609600067139,0.19032461941242218,1e-04,0.8226950168609619,0.5212076902389526
15,0.9335305690765381,0.17975549399852753,1e-04,0.8368794322013855,0.4934197962284088
16,0.9355029463768005,0.16132096946239471,5e-05,0.8829787373542786,0.36225834488868713
